physid,PRVDR_SPCLTY,startyr,endyr
2910,NEUROMUSCULOSKELETAL MEDICINE & OMM,2009,2013
2911,INTERNAL MEDICINE - CRITICAL CARE MEDICINE,2010,2016
2911,PULMONARY DISEASES,2016,2020
2912,"SURGERY, GENERAL",2009,2013
2912,"SURGERY, GENERAL VASCULAR",2014,2020
2913,FAMILY MEDICINE,2015,2019
2913,INTERNAL MEDICINE,2013,2013
2914,FAMILY MEDICINE,2009,2020
2915,INTERNAL MEDICINE,2013,2014
2916,INTERNAL MEDICINE,2009,2011
2916,PULMONARY DISEASES,2012,2020
2917,PHYSICIAN ASSISTANT,2013,2020
2918,OPHTHALMOLOGY,2009,2020
2919,FAMILY MEDICINE,2011,2015
2920,PHYSICIAN ASSISTANT,2011,2020
2921,EMERGENCY MEDICINE,2009,2020
2922,EMERGENCY MEDICINE,2019,2020
2923,FAMILY MEDICINE,2018,2020
2924,NUCLEAR MEDICINE,2009,2020
2925,OBSTETRICS & GYNECOLOGY,2009,2020
2926,FAMILY MEDICINE,2010,2011
2926,INTERNAL MEDICINE,2012,2020
2927,INTERNAL MEDICINE,2009,2020
2928,UROLOGY,2009,2015
2929,EMERGENCY MEDICINE,2009,2020
2930,FAMILY MEDICINE,2012,2017
2930,FAMILY PRACTICE - GERIATRIC MEDICINE,2018,2020
2930,INTERNAL MEDICINE,2009,2011
2931,"SURGERY, NEUROLOGICAL",2009,2020
2932,PULMONARY DISEASES,2017,2020
2933,FAMILY MEDICINE,2019,2020
2933,INTERNAL MEDICINE,2015,2018
2934,NURSE PRACTITIONER,2016,2020
2935,EMERGENCY MEDICINE,2016,2020
2936,FAMILY MEDICINE,2018,2020
2936,INTERNAL MEDICINE,2014,2017
2937,INTERNAL MEDICINE,2009,2012
2938,INTERNAL MEDICINE,2009,2009
2939,INTERNAL MEDICINE,2009,2020
2940,ANESTHESIOLOGY,2009,2013
2940,"ANESTHESIOLOGY, PAIN MANAGEMENT",2014,2020
2941,INTERNAL MEDICINE,2016,2016
2942,PHYSICIAN ASSISTANT,2018,2020
2943,EMERGENCY MEDICINE,2013,2020
2944,PHYSICIAN ASSISTANT,2016,2020
2945,ANESTHESIOLOGY,2009,2018
2946,FAMILY MEDICINE,2018,2019
2946,INTERNAL MEDICINE,2014,2017
2947,INTERNAL MEDICINE,2010,2011
2947,OBSTETRICS & GYNECOLOGY,2012,2016
2948,FAMILY MEDICINE,2009,2020
2949,FAMILY MEDICINE,2014,2020
2950,UROLOGY,2014,2020
2951,INFECTIOUS DISEASES,2009,2014
2952,GASTROENTEROLOGY,2019,2020
2952,INTERNAL MEDICINE,2015,2018
2953,EMERGENCY MEDICINE,2009,2020
2954,GENERAL PRACTICE,2012,2015
2954,INTERNAL MEDICINE,2015,2020
2955,"SURGERY, GENERAL",2012,2013
2955,"SURGERY, GENERAL VASCULAR",2009,2017
2956,INTERNAL MEDICINE,2017,2020
2956,REGISTERED NURSE,2016,2016
2957,FAMILY MEDICINE,2014,2015
2957,INTERNAL MEDICINE,2010,2013
2958,"SURGERY, GENERAL",2017,2020
2959,EMERGENCY MEDICINE,2012,2020
2960,EMERGENCY MEDICINE,2010,2020
2961,INTERNAL MEDICINE,2009,2012
2962,INTERNAL MEDICINE,2016,2020
2963,FAMILY MEDICINE,2013,2014
2963,INTERNAL MEDICINE,2010,2012
2964,FAMILY PRACTICE - GERIATRIC MEDICINE,2018,2020
2964,INTERNAL MEDICINE,2009,2017
2965,FAMILY MEDICINE,2010,2017
2965,FAMILY PRACTICE - GERIATRIC MEDICINE,2018,2020
2965,INTERNAL MEDICINE,2009,2009
2966,INTERNAL MEDICINE,2012,2016
2967,FAMILY MEDICINE,2012,2016
2968,FAMILY MEDICINE,2013,2020
2969,NURSE PRACTITIONER,2009,2020
2970,INTERNAL MEDICINE,2014,2019
2970,"SURGERY, GENERAL",2020,2020
2971,RHEUMATOLOGY,2009,2015
2972,GENERAL PRACTICE,2012,2014
2972,HOSPITALIST,2015,2020
2972,INTERNAL MEDICINE,2015,2016
2973,EMERGENCY MEDICINE,2015,2020
2974,GENERAL PRACTICE,2016,2017
2974,INTERNAL MEDICINE,2015,2018
2975,INTERNAL MEDICINE,2011,2014
2976,FAMILY MEDICINE,2009,2020
2977,EMERGENCY MEDICINE,2009,2018
2978,FAMILY MEDICINE,2009,2020
2979,OCCUPATIONAL MEDICINE,2010,2020
2980,FOOT & ANKLE SURGERY,2009,2020
2981,"ANESTHESIOLOGY, PAIN MANAGEMENT",2012,2020
2982,UROLOGY,2009,2020
2983,"SURGERY, GENERAL",2009,2017
2984,NEPHROLOGY,2009,2017
2985,PSYCHIATRY & NEUROLOGY - NEUROLOGY,2009,2014
2986,NEUROMUSCULOSKELETAL MEDICINE & OMM,2012,2020
2987,FAMILY MEDICINE,2009,2020
2988,EMERGENCY MEDICINE,2009,2020
2989,PSYCHIATRY & NEUROLOGY - NEUROLOGY,2009,2020
2990,INTERNAL MEDICINE,2016,2019
2991,NURSE PRACTITIONER,2009,2011
2991,PHYSICIAN ASSISTANT,2012,2016
2992,EMERGENCY MEDICINE,2017,2020
2993,RHEUMATOLOGY,2009,2020
2994,FAMILY MEDICINE,2009,2020
2995,INTERNAL MEDICINE,2012,2014
2996,EMERGENCY MEDICINE,2010,2020
2997,INTERNAL MEDICINE,2015,2020
2998,PULMONARY DISEASES,2009,2020
2999,PHYSICIAN ASSISTANT,2009,2020
3000,NURSE PRACTITIONER,2009,2009
3001,INTERNAL MEDICINE,2009,2011
3002,GASTROENTEROLOGY,2018,2020
3003,ANESTHESIOLOGY,2015,2020
3003,INTERNAL MEDICINE,2013,2014
3004,FOOT & ANKLE SURGERY,2018,2020
3005,FAMILY MEDICINE,2015,2018
3006,ANESTHESIOLOGY,2009,2020
3007,EMERGENCY MEDICINE,2017,2020
3008,INTERNAL MEDICINE,2009,2012
3008,"RADIOLOGY, BODY IMAGING",2013,2020
3009,EMERGENCY MEDICINE,2015,2020
3010,LICENSED VOCATIONAL NURSE,2020,2020
3010,NURSE AIDE,2009,2019
3011,FAMILY MEDICINE,2014,2017
3011,INTERNAL MEDICINE,2010,2013
3012,INTERNAL MEDICINE,2009,2015
3013,EMERGENCY MEDICINE,2016,2020
3014,CARDIOVASCULAR DISEASE,2010,2020
3015,GENERAL PRACTICE,2009,2009
3015,INTERNAL MEDICINE,2011,2015
3016,LICENSED VOCATIONAL NURSE,2009,2011
3016,NURSE PRACTITIONER,2019,2020
3016,REGISTERED NURSE,2012,2018
3017,FAMILY MEDICINE,2009,2020
3018,INTERNAL MEDICINE - CRITICAL CARE MEDICINE,2009,2015
3018,PULMONARY DISEASES,2016,2020
3019,PHYSICIAN ASSISTANT,2009,2020
3020,INTERNAL MEDICINE,2011,2012
3021,INTERNAL MEDICINE,2012,2020
3022,INTERNAL MEDICINE,2009,2012
3023,UROLOGY,2009,2020
3024,OCCUPATIONAL MEDICINE,2018,2020
3025,OCCUPATIONAL MEDICINE,2009,2020
3026,INTERNAL MEDICINE,2013,2013
3026,"SURGERY, GENERAL",2014,2014
3027,FAMILY MEDICINE,2009,2020
3028,PHYSICIAN ASSISTANT,2009,2017
3029,FAMILY MEDICINE,2009,2013
3030,OBSTETRICS & GYNECOLOGY,2009,2020
3031,PLASTIC & RECONSTRUCTIVE SURGERY,2009,2020
3032,CARDIOVASCULAR DISEASE,2014,2014
3032,THORACIC SURGERY,2015,2020
3033,INTERNAL MEDICINE,2011,2016
3034,"SURGERY, ORTHOPAEDIC, SPINE",2009,2020
3035,"SURGERY, NEUROLOGICAL",2017,2020
3036,FAMILY MEDICINE,2009,2020
3037,INTERNAL MEDICINE,2009,2015
3038,OBSTETRICS & GYNECOLOGY,2009,2020
3039,PHYSICIAN ASSISTANT,2009,2020
3040,PHYSICIAN ASSISTANT,2009,2016
3041,PHYSICIAN ASSISTANT,2009,2014
3042,OCCUPATIONAL MEDICINE,2009,2020
3043,FAMILY MEDICINE,2009,2020
3044,INTERNAL MEDICINE,2013,2016
3044,"SURGERY, GENERAL",2014,2015
3045,OBSTETRICS & GYNECOLOGY,2009,2020
3046,"SURGERY, GENERAL VASCULAR",2012,2020
3047,INTERNAL MEDICINE,2012,2014
3048,FAMILY MEDICINE,2009,2020
3049,INTERNAL MEDICINE,2009,2009
3050,FAMILY MEDICINE,2018,2020
3051,INTERNAL MEDICINE,2009,2020
3052,PHYSICIAN ASSISTANT,2009,2019
3053,FAMILY MEDICINE,2015,2020
3054,INTERNAL MEDICINE,2014,2020
3055,PULMONARY DISEASES,2018,2020
3056,EMERGENCY MEDICINE,2016,2020
3057,INTERNAL MEDICINE,2009,2011
3057,PEDIATRICS -NEONATAL-PERINATAL MEDICINE,2017,2017
3057,PULMONARY DISEASES,2012,2020
3058,EMERGENCY MEDICINE,2012,2020
3059,UROLOGY,2009,2012
3060,EMERGENCY MEDICINE,2009,2020
3061,CARDIOVASCULAR DISEASE,2009,2020
3062,INTERNAL MEDICINE,2015,2020
3063,PHYSICIAN ASSISTANT,2016,2020
3064,EMERGENCY MEDICINE,2009,2009
3065,UROLOGY,2011,2020
3066,EMERGENCY MEDICINE,2012,2020
3066,GENERAL PRACTICE,2009,2012
3067,EMERGENCY MEDICINE,2015,2020
3068,FAMILY MEDICINE,2010,2013
3068,INTERNAL MEDICINE,2012,2012
3069,PHYSICIAN ASSISTANT,2009,2020
3070,PHYSICIAN ASSISTANT,2009,2014
3071,"SURGERY, GENERAL VASCULAR",2009,2020
3072,FAMILY MEDICINE,2016,2020
3072,INTERNAL MEDICINE,2011,2015
3073,PHYSICIAN ASSISTANT,2011,2020
3074,ANESTHESIOLOGY,2015,2020
3075,FAMILY PRACTICE - GERIATRIC MEDICINE,2018,2020
3075,INTERNAL MEDICINE,2009,2017
3076,INTERNAL MEDICINE,2015,2020
3077,FAMILY MEDICINE,2015,2020
3078,EMERGENCY MEDICINE,2009,2020
3079,EMERGENCY MEDICINE,2009,2020
3080,PHYSICIAN ASSISTANT,2011,2020
3081,PHYSICAL MEDICINE & REHABILITATION,2009,2020
3082,NEURORADIOLOGY,2017,2020
3082,"SURGERY, NEUROLOGICAL",2016,2016
3083,ANATOMIC PATHOLOGY & CLINICAL PATHOLOGY,2019,2019
3083,PLASTIC SURGERY WITHIN THE HEAD & NECK,2009,2020
3084,INTERNAL MEDICINE,2017,2020
3085,EMERGENCY MEDICINE,2014,2015
3086,NURSE PRACTITIONER,2009,2020
3087,CARDIOVASCULAR DISEASE,2009,2020
3087,INTERNAL MEDICINE,2012,2012
3088,OBSTETRICS & GYNECOLOGY,2016,2019
3089,INTERNAL MEDICINE,2017,2020
3090,UROLOGY,2011,2020
3091,INTERNAL MEDICINE,2009,2020
3092,INTERNAL MEDICINE,2011,2012
3093,PHYSICIAN ASSISTANT,2016,2020
3094,HOSPITALIST,2010,2012
3094,INTERNAL MEDICINE,2010,2014
3094,PULMONARY DISEASES,2015,2020
3095,OCCUPATIONAL MEDICINE,2011,2014
3096,NURSE PRACTITIONER,2009,2012
3096,REGISTERED NURSE,2013,2013
3097,OBSTETRICS & GYNECOLOGY,2009,2020
3098,INTERNAL MEDICINE,2017,2020
3099,INTERNAL MEDICINE,2018,2020
3100,NEUROMUSCULOSKELETAL MEDICINE & OMM,2009,2020
3101,INTERNAL MEDICINE,2015,2018
3102,INTERNAL MEDICINE,2009,2020
3103,"SURGERY, NEUROLOGICAL",2019,2020
3104,FAMILY MEDICINE,2015,2020
3105,PHYSICIAN ASSISTANT,2009,2017
3106,OBSTETRICS & GYNECOLOGY,2009,2020
3107,INTERNAL MEDICINE,2019,2020
3108,PHYSICIAN ASSISTANT,2009,2016
3109,INTERNAL MEDICINE,2017,2019
3110,EMERGENCY MEDICINE,2009,2020
3111,FOOT & ANKLE SURGERY,2012,2020
3111,PODIATRIST,2009,2011
3112,OBSTETRICS & GYNECOLOGY,2009,2020
3113,OBSTETRICS & GYNECOLOGY,2009,2019
3114,"SURGERY, NEUROLOGICAL",2018,2020
3115,FAMILY MEDICINE,2009,2020
3116,FAMILY MEDICINE,2016,2020
3116,SPECIALIST/TECHNOLOGIST,2009,2009
3117,EMERGENCY MEDICINE,2012,2014
3118,PSYCHIATRY & NEUROLOGY - NEUROLOGY,2009,2016
3119,INTERNAL MEDICINE,2019,2020
3120,ANESTHESIOLOGY,2011,2020
3121,ANESTHESIOLOGY,2009,2013
3122,FAMILY MEDICINE,2010,2018
3122,INTERNAL MEDICINE,2009,2009
3123,FAMILY MEDICINE,2009,2013
3124,NEPHROLOGY,2010,2020
3125,EMERGENCY MEDICINE,2009,2020
3126,EMERGENCY MEDICINE,2010,2020
3127,NEUROMUSCULOSKELETAL MEDICINE & OMM,2011,2012
3128,NURSE PRACTITIONER,2017,2020
3128,REGISTERED NURSE,2009,2012
3129,EMERGENCY MEDICINE,2014,2020
3129,FAMILY MEDICINE,2012,2013
3130,ANESTHESIOLOGY,2013,2020
3131,INTERNAL MEDICINE,2009,2009
3132,INTERNAL MEDICINE,2009,2020
3133,FAMILY MEDICINE,2019,2020
3133,INTERNAL MEDICINE,2015,2018
3134,PHYSICIAN ASSISTANT,2016,2018
3135,INTERNAL MEDICINE,2009,2020
3136,INTERNAL MEDICINE,2014,2016
3137,NEPHROLOGY,2009,2020
3138,FAMILY MEDICINE,2016,2020
3139,FAMILY MEDICINE,2016,2020
3139,INTERNAL MEDICINE,2013,2016
3140,INTERNAL MEDICINE,2009,2020
3141,INTERNAL MEDICINE,2009,2017
3142,UROLOGY,2009,2020
3143,PSYCHIATRY & NEUROLOGY - NEUROLOGY,2009,2020
3144,CARDIOVASCULAR DISEASE,2011,2020
3145,FAMILY MEDICINE,2009,2020
3146,"SURGERY, GENERAL",2014,2017
3147,INTERNAL MEDICINE,2013,2014
3148,FAMILY MEDICINE,2009,2020
3149,GASTROENTEROLOGY,2014,2020
3149,INTERNAL MEDICINE,2009,2012
3150,EMERGENCY MEDICINE,2016,2020
3151,INTERNAL MEDICINE,2017,2019
3152,INTERNAL MEDICINE,2017,2018
3153,ANESTHESIOLOGY,2009,2020
3154,GENERAL PRACTICE,2014,2017
3154,OTOLARYNGOLOGY,2018,2020
3154,PLASTIC SURGERY WITHIN THE HEAD & NECK,2009,2014
3155,INTERNAL MEDICINE,2009,2009
3155,OBSTETRICS & GYNECOLOGY,2010,2010
3156,INTERNAL MEDICINE,2017,2018
3157,INTERNAL MEDICINE,2009,2020
3158,FAMILY MEDICINE,2009,2020
3159,NEUROMUSCULOSKELETAL MEDICINE & OMM,2015,2020
3160,SURGERY OF THE HAND,2012,2020
3160,"SURGERY, HAND",2009,2011
3161,"RADIOLOGY, BODY IMAGING",2010,2020
3162,INTERNAL MEDICINE,2010,2020
3163,NURSE PRACTITIONER,2016,2018
3164,FAMILY MEDICINE,2009,2018
3165,EMERGENCY MEDICINE,2015,2019
3167,PHYSICAL MEDICINE & REHABILITATION,2017,2020
3168,NEPHROLOGY,2009,2020
3169,FAMILY MEDICINE,2009,2009
3170,"SURGERY, GENERAL",2011,2014
3171,EMERGENCY MEDICINE,2015,2019
3172,OBSTETRICS & GYNECOLOGY,2009,2020
3173,"ENDOCRINOLOGY, DIABETES & METABOLISM",2011,2011
3174,PHYSICIAN ASSISTANT,2009,2018
3175,CARDIOVASCULAR DISEASE,2009,2020
3176,EMERGENCY MEDICINE,2009,2020
3177,NURSE PRACTITIONER,2016,2016
3177,PHYSICIAN ASSISTANT,2017,2020
3178,EMERGENCY MEDICINE,2013,2020
3179,PHYSICIAN ASSISTANT,2013,2020
3180,EMERGENCY MEDICINE,2018,2020
3181,ANESTHESIOLOGY,2009,2020
3182,INTERNAL MEDICINE,2009,2011
3182,RHEUMATOLOGY,2012,2020
3183,FAMILY MEDICINE,2019,2020
3183,INTERNAL MEDICINE,2016,2018
3184,NURSE PRACTITIONER,2018,2020
3184,REGISTERED NURSE,2015,2017
3185,EMERGENCY MEDICINE,2017,2020
3186,NEUROMUSCULOSKELETAL MEDICINE & OMM,2009,2017
3187,EMERGENCY MEDICINE,2014,2020
3188,INTERNAL MEDICINE,2012,2013
3188,PHYSICAL MEDICINE & REHABILITATION,2014,2015
3189,EMERGENCY MEDICINE,2013,2017
3190,EMERGENCY MEDICINE,2011,2013
3191,FAMILY MEDICINE,2014,2020
3192,NEUROMUSCULOSKELETAL MEDICINE & OMM,2015,2020
3193,FAMILY MEDICINE,2017,2020
3194,FAMILY MEDICINE,2009,2020
3195,VASCULAR & INTERVENTIONAL RADIOLOGY,2009,2020
3196,CARDIOVASCULAR DISEASE,2012,2020
3196,INTERNAL MEDICINE,2010,2011
3197,FOOT & ANKLE SURGERY,2009,2020
3198,FAMILY PRACTICE - GERIATRIC MEDICINE,2018,2020
3198,INTERNAL MEDICINE,2009,2017
3199,FOOT & ANKLE SURGERY,2013,2020
3199,PODIATRIST,2011,2012
3200,INTERNAL MEDICINE,2012,2020
3201,RADIATION ONCOLOGY,2009,2020
3202,NEUROMUSCULOSKELETAL MEDICINE & OMM,2009,2020
3203,FAMILY MEDICINE,2009,2020
3204,INTERNAL MEDICINE,2016,2020
3205,INTERNAL MEDICINE,2010,2020
3206,ANESTHESIOLOGY,2009,2009
3206,"ANESTHESIOLOGY, PAIN MANAGEMENT",2010,2020
3207,"SURGERY, GENERAL",2011,2013
3208,CLINICAL GENETICS,2015,2020
3208,INTERNAL MEDICINE,2013,2014
3209,FAMILY MEDICINE,2009,2020
3210,NURSE PRACTITIONER,2010,2018
3210,REGISTERED NURSE,2009,2009
3211,FAMILY MEDICINE,2009,2020
3212,EMERGENCY MEDICINE,2016,2020
3212,GENERAL PRACTICE,2013,2016
3213,FAMILY MEDICINE,2009,2011
3214,FAMILY MEDICINE,2017,2019
3215,OPHTHALMOLOGY,2009,2020
3216,NEUROMUSCULOSKELETAL MEDICINE & OMM,2016,2020
3217,INTERNAL MEDICINE,2017,2020
3218,FAMILY MEDICINE,2015,2020
3218,INTERNAL MEDICINE,2011,2014
3219,INTERNAL MEDICINE,2015,2020
3220,"SURGERY, GENERAL VASCULAR",2019,2020
3221,EMERGENCY MEDICINE,2009,2020
3222,INTERNAL MEDICINE,2009,2010
3222,OBSTETRICS & GYNECOLOGY,2011,2020
3223,EMERGENCY MEDICINE,2012,2020
3223,FAMILY MEDICINE,2009,2011
3224,INFECTIOUS DISEASES,2009,2020
3225,PHYSICIAN ASSISTANT,2009,2014
3226,FOOT & ANKLE SURGERY,2009,2019
3227,EMERGENCY MEDICINE,2009,2020
3228,OBSTETRICS & GYNECOLOGY,2009,2020
3229,FAMILY MEDICINE,2009,2020
3230,INTERNAL MEDICINE,2014,2020
3231,FAMILY MEDICINE,2009,2013
3232,INTERNAL MEDICINE,2017,2020
3233,FAMILY MEDICINE,2009,2020
3234,PHYSICIAN ASSISTANT,2009,2013
3235,FAMILY MEDICINE,2018,2020
3235,INTERNAL MEDICINE,2014,2017
3236,FAMILY MEDICINE,2011,2020
3236,INTERNAL MEDICINE,2009,2010
3237,PHYSICIAN ASSISTANT,2009,2020
3238,"ENDOCRINOLOGY, DIABETES & METABOLISM",2009,2020
3239,ANESTHESIOLOGY,2009,2020
3240,PHYSICIAN ASSISTANT,2009,2020
3241,NURSE PRACTITIONER,2009,2020
3242,EMERGENCY MEDICINE,2017,2020
3243,PHYSICIAN ASSISTANT,2009,2020
3244,EMERGENCY MEDICINE,2009,2013
3245,CLINICAL CARDIAC ELECTROPHYSIOLOGY,2009,2020
3246,EMERGENCY MEDICINE,2009,2020
3247,FAMILY PRACTICE - GERIATRIC MEDICINE,2018,2020
3248,NEUROMUSCULOSKELETAL MEDICINE & OMM,2009,2017
3249,INTERNAL MEDICINE,2012,2020
3250,EMERGENCY MEDICINE,2011,2017
3251,INTERNAL MEDICINE,2011,2018
3251,INTERNAL MEDICINE - CRITICAL CARE MEDICINE,2019,2020
3252,FAMILY MEDICINE,2009,2020
3253,NEUROMUSCULOSKELETAL MEDICINE & OMM,2009,2020
3254,INTERNAL MEDICINE,2009,2020
3255,INTERNAL MEDICINE,2010,2020
3256,GENERAL PRACTICE,2009,2012
3256,NEUROMUSCULOSKELETAL MEDICINE & OMM,2012,2020
3257,EMERGENCY MEDICINE,2010,2018
3257,FAMILY MEDICINE,2019,2020
3258,INTERNAL MEDICINE,2015,2019
3259,FAMILY MEDICINE,2009,2020
3260,OBSTETRICS & GYNECOLOGY,2009,2016
3261,FAMILY MEDICINE,2009,2020
3262,INTERNAL MEDICINE,2014,2017
3263,FAMILY MEDICINE,2009,2017
3264,ANESTHESIOLOGY,2009,2020
3265,PSYCHIATRY & NEUROLOGY - NEUROLOGY,2009,2020
3266,INTERNAL MEDICINE,2009,2013
3267,PLASTIC & RECONSTRUCTIVE SURGERY,2010,2020
3268,ANESTHESIOLOGY,2013,2020
3269,INTERNAL MEDICINE,2016,2020
3270,INTERNAL MEDICINE,2014,2014
3270,PHYSICAL MEDICINE & REHABILITATION,2015,2017
3271,FOOT & ANKLE SURGERY,2016,2020
3271,PODIATRIST,2012,2015
3272,PHYSICIAN ASSISTANT,2018,2020
3273,INTERNAL MEDICINE,2011,2017
3274,EMERGENCY MEDICINE,2009,2016
3275,INTERNAL MEDICINE,2010,2020
3276,INTERNAL MEDICINE,2010,2018
3277,INTERNAL MEDICINE,2016,2017
3277,"SURGERY, NEUROLOGICAL",2018,2020
3278,PHYSICIAN ASSISTANT,2015,2020
3279,EMERGENCY MEDICINE,2009,2020
3280,INTERNAL MEDICINE,2009,2009
3281,INTERNAL MEDICINE,2009,2020
3282,PLASTIC SURGERY WITHIN THE HEAD & NECK,2009,2020
3283,"SURGERY, GENERAL",2012,2015
3284,EMERGENCY MEDICINE,2011,2016
3285,INTERNAL MEDICINE,2016,2019
3286,ALLERGY AND IMMUNOLOGY,2009,2020
3287,FAMILY MEDICINE,2013,2020
3287,INTERNAL MEDICINE,2009,2012
3288,NURSE PRACTITIONER,2011,2020
3289,FAMILY MEDICINE,2016,2020
3290,INTERNAL MEDICINE,2013,2014
3291,ANESTHESIOLOGY,2009,2020
3292,FAMILY MEDICINE,2009,2020
3293,INTERNAL MEDICINE,2009,2010
3293,PHYSICAL MEDICINE & REHABILITATION,2011,2020
3294,INTERNAL MEDICINE,2015,2018
3295,FAMILY MEDICINE,2018,2020
3295,INTERNAL MEDICINE,2013,2017
3296,FAMILY MEDICINE,2016,2020
3297,INTERNAL MEDICINE,2012,2014
3298,INTERNAL MEDICINE,2014,2014
3298,"SURGERY, GENERAL",2010,2013
3299,INTERNAL MEDICINE,2013,2020
3300,PHYSICIAN ASSISTANT,2013,2017
3301,INTERNAL MEDICINE,2012,2014
3302,CARDIOVASCULAR DISEASE,2009,2019
3303,NURSE PRACTITIONER,2020,2020
3303,REGISTERED NURSE,2010,2019
3304,PHYSICIAN ASSISTANT,2012,2020
3305,PHYSICIAN ASSISTANT,2018,2020
3306,PSYCHIATRY & NEUROLOGY - NEUROLOGY,2009,2012
3307,INTERNAL MEDICINE,2012,2017
3308,FOOT & ANKLE SURGERY,2009,2020
3309,EMERGENCY MEDICINE,2019,2020
3310,INTERNAL MEDICINE,2013,2020
3311,INTERNAL MEDICINE,2011,2012
3312,GENERAL PRACTICE,2011,2014
3312,INTERNAL MEDICINE,2014,2015
3313,PSYCHIATRY & NEUROLOGY - NEUROLOGY,2009,2020
3314,FAMILY MEDICINE,2009,2020
3314,INTERNAL MEDICINE,2017,2017
3315,OBSTETRICS & GYNECOLOGY,2009,2018
3316,INTERNAL MEDICINE,2009,2014
3316,OBSTETRICS & GYNECOLOGY,2016,2016
3316,"ONCOLOGY, GYNECOLOGIC",2017,2020
3317,FAMILY MEDICINE,2018,2020
3319,INTERNAL MEDICINE,2015,2016
3320,GENERAL PRACTICE,2013,2014
3320,INTERNAL MEDICINE,2014,2019
3321,HOSPITALIST,2009,2015
3321,INTERNAL MEDICINE,2015,2018
3322,FAMILY MEDICINE,2015,2018
3323,PHYSICAL MEDICINE & REHABILITATION,2014,2016
3324,PHYSICIAN ASSISTANT,2009,2013
3325,FAMILY MEDICINE,2014,2020
3326,NEUROMUSCULOSKELETAL MEDICINE & OMM,2016,2020
3327,INTERNAL MEDICINE,2011,2020
3328,FAMILY MEDICINE,2009,2020
3329,FAMILY MEDICINE,2009,2015
3330,NURSE PRACTITIONER,2011,2020
3331,SURGERY OF THE HAND,2012,2020
3331,"SURGERY, HAND",2009,2011
3332,INTERNAL MEDICINE,2009,2014
3333,EMERGENCY MEDICINE,2009,2012
3334,INTERNAL MEDICINE,2010,2012
3334,"SURGERY, GENERAL",2009,2009
3335,THORACIC SURGERY,2009,2020
3336,INTERNAL MEDICINE,2014,2020
3337,INTERNAL MEDICINE,2009,2010
3337,"SURGERY, GENERAL",2011,2013
3338,FAMILY MEDICINE,2009,2015
3339,"ANESTHESIOLOGY, PAIN MANAGEMENT",2013,2013
3339,PHYSICAL MEDICINE & REHABILITATION,2014,2020
3340,FAMILY MEDICINE,2009,2020
3341,"SURGERY, GENERAL",2009,2011
3342,ANESTHESIOLOGY,2009,2011
3342,"ANESTHESIOLOGY, PAIN MANAGEMENT",2012,2020
3343,FOOT & ANKLE SURGERY,2009,2020
3344,INTERNAL MEDICINE,2009,2014
3345,PLASTIC SURGERY WITHIN THE HEAD & NECK,2009,2016
3346,PHYSICIAN ASSISTANT,2017,2020
3347,INTERNAL MEDICINE,2009,2011
3348,FAMILY MEDICINE,2009,2016
3349,FAMILY MEDICINE,2009,2020
3350,INFECTIOUS DISEASES,2009,2018
3351,EMERGENCY MEDICINE,2020,2020
3351,FAMILY MEDICINE,2018,2019
3352,PHYSICIAN ASSISTANT,2009,2020
3353,"ONCOLOGY, GYNECOLOGIC",2009,2020
3354,PHYSICIAN ASSISTANT,2009,2020
3355,RHEUMATOLOGY,2009,2019
3356,EMERGENCY MEDICINE,2013,2016
3356,FAMILY MEDICINE,2009,2012
3357,INTERNAL MEDICINE,2015,2018
3357,TRANSPLANT SURGERY,2009,2020
3358,ANESTHESIOLOGY,2017,2018
3358,PEDIATRIC ANESTHESIOLOGY,2010,2020
3359,PHYSICIAN ASSISTANT,2009,2020
3360,FAMILY MEDICINE,2014,2020
3361,EMERGENCY MEDICINE,2009,2020
3362,NURSE PRACTITIONER,2009,2016
3362,REGISTERED NURSE,2018,2020
3363,INTERNAL MEDICINE,2013,2017
3363,OBSTETRICS & GYNECOLOGY,2018,2020
3364,PSYCHIATRY & NEUROLOGY - NEUROLOGY,2015,2020
3365,INTERNAL MEDICINE,2014,2016
3365,"SURGERY, GENERAL",2015,2015
3365,THORACIC SURGERY,2019,2020
3366,INTERNAL MEDICINE,2017,2019
3366,REGISTERED NURSE,2016,2016
3367,INTERNAL MEDICINE,2012,2013
3368,NURSE PRACTITIONER,2009,2020
3369,INTERNAL MEDICINE,2012,2013
3370,EMERGENCY MEDICINE,2013,2020
3371,INTERNAL MEDICINE,2009,2019
3372,PHYSICAL MEDICINE & REHABILITATION,2012,2020
3373,INTERNAL MEDICINE,2015,2020
3374,FAMILY MEDICINE,2009,2010
3375,FAMILY MEDICINE,2009,2020
3376,NEPHROLOGY,2016,2020
3378,EMERGENCY MEDICINE,2009,2020
3379,INTERNAL MEDICINE,2015,2020
3380,INTERNAL MEDICINE,2018,2019
3381,OCCUPATIONAL THERAPIST,2009,2020
3382,INTERNAL MEDICINE,2015,2020
3383,FAMILY MEDICINE,2009,2020
3384,EMERGENCY MEDICINE,2014,2020
3385,OCCUPATIONAL MEDICINE,2009,2020
3386,"ENDOCRINOLOGY, DIABETES & METABOLISM",2010,2020
3387,FAMILY MEDICINE,2011,2020
3388,INTERNAL MEDICINE,2018,2020
3389,INTERNAL MEDICINE,2011,2012
3390,INTERNAL MEDICINE,2011,2014
3391,NEUROMUSCULOSKELETAL MEDICINE & OMM,2009,2020
