physid,birth_yr,employment_yr,termination_yr,female,ETHNICITY,JOB_TITLE,firstencyr,lastencyr,encyrs,PATCT,patperyr
1783,1958,2002,,0,WHITE,GYNECOLOGIC ONCOLOGIST,2004,2020,17,4568,268.70588235
1784,1989,2017,,1,WHITE,URGENT CARE SPECIALIST,2015,2020,6,6194,1032.3333333
1785,1968,1997,,0,ASIAN,INTERNIST,2004,2020,17,8678,510.47058824
1786,1969,2009,2012,1,WHITE,INTERNIST,,,,,
1787,1959,1987,,0,WHITE,FAMILY PRACTICE SPECIALIST,2004,2020,17,18138,1066.9411765
1788,1976,2007,,0,HISPAN,INTERNIST,2008,2020,13,6302,484.76923077
1789,1978,2015,,1,WHITE,,2013,2014,2,1238,619
1790,1979,2008,2015,0,HISPAN,FAMILY PRACTICE SPECIALIST,2006,2014,9,4966,551.77777778
1791,1976,2009,,1,WHITE,GENERAL SURGEON,2008,2020,13,3741,287.76923077
1792,1953,1994,2019,0,BLACK,EMERGENTOLOGIST,,,,,
1793,1949,2007,2014,0,WHITE,INTERNIST,2007,2012,6,6990,1165
1794,1975,2006,2013,0,WHITE,INTERNIST,2006,2012,7,6569,938.42857143
1795,1964,2011,,0,HISPAN,FAMILY PRACTICE SPECIALIST,2011,2020,10,11902,1190.2
1796,1952,1979,,0,WHITE,GASTROENTEROLOGIST,2004,2020,17,16491,970.05882353
1797,1967,1997,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,23205,1365
1798,1968,2010,,1,ASIAN,INTERNIST,2010,2020,11,11806,1073.2727273
1799,1979,2009,2011,0,,,2011,2011,1,42,42
1800,1966,2002,,1,HISPAN,GASTROENTEROLOGIST,2004,2020,17,10441,614.17647059
1801,1967,1997,,0,WHITE,INTERNIST,2004,2020,17,10536,619.76470588
1802,1974,2007,,0,HISPAN,IM HOSPITALIST,2005,2018,14,618,44.142857143
1803,1951,1981,2019,0,HISPAN,URGENT CARE SPECIALIST,2004,2018,15,5477,365.13333333
1804,1974,2006,,1,ASIAN,GENERAL SURGEON,2006,2020,15,5957,397.13333333
1805,1982,2010,,1,ASIAN,IM HOSPITALIST,2017,2017,1,3,3
1806,,,2016,1,,,2015,2016,2,381,190.5
1807,1953,2000,2017,0,WHITE,FAMILY PRACTICE SPECIALIST,2004,2015,12,23197,1933.0833333
1808,1972,2006,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2006,2020,15,15047,1003.1333333
1809,1952,1976,2015,1,WHITE,SP UNIT STAFF RN - HOSP,2010,2011,2,189,94.5
1810,1949,1990,,0,WHITE,FAMILY PRACTICE SPECIALIST,2004,2020,17,7902,464.82352941
1811,1971,2010,,1,ASIAN,INTERNIST,2010,2020,11,13679,1243.5454545
1812,1983,2016,,1,WHITE,GENERAL SURGEON,2016,2020,5,2667,533.4
1813,1959,1986,,1,WHITE,FAMILY PRACTICE SPECIALIST,2004,2020,17,6378,375.17647059
1814,1976,2009,2012,1,BLACK,GENERAL SURGEON,,,,,
1815,1955,2000,,0,HISPAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,13106,770.94117647
1816,1966,1995,,0,WHITE,GENERAL SURGEON,2009,2020,12,5353,446.08333333
1817,1959,1987,,0,ASIAN,INTERNIST,2004,2020,17,13221,777.70588235
1818,1971,2012,,0,WHITE,INTERNIST,2012,2020,9,11292,1254.6666667
1819,1978,2009,2010,0,,,2009,2010,2,242,121
1820,1967,1997,,1,WHITE,PHYSICIAN ASST II,2005,2020,16,8095,505.9375
1821,1957,1987,,0,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2004,2020,17,3294,193.76470588
1822,1954,1986,,0,WHITE,EMERGENTOLOGIST,2015,2015,1,6,6
1823,1980,2005,,1,WHITE,PHYSICIAN AST II,2006,2020,15,23475,1565
1824,1966,1997,,1,ASIAN,INTERNIST,2004,2020,17,12363,727.23529412
1825,1974,2005,,0,WHITE,IM HOSPITALIST,2006,2020,15,6466,431.06666667
1826,1981,2016,2016,1,ASIAN,INTERNIST,,,,,
1827,1975,2006,,1,WHITE,INTERNIST,2006,2020,15,4597,306.46666667
1828,1980,2014,,0,WHITE,INTERNIST,2014,2020,7,10912,1558.8571429
1829,1973,2005,,1,WHITE,INTERNIST,2005,2020,16,8983,561.4375
1830,1968,1999,,0,WHITE,FAMILY PRACTICE SPECIALIST,2004,2020,17,12637,743.35294118
1831,1976,2007,,0,ASIAN,INTERNIST,2007,2020,14,14098,1007
1832,1974,2004,2009,1,ASIAN,INTERNIST,,,,,
1833,1966,2008,,0,ASIAN,GASTROENTEROLOGIST,2008,2020,13,8570,659.23076923
1834,1973,2009,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2009,2020,12,10448,870.66666667
1835,1976,2012,,0,WHITE,FAMILY PRACTICE SPECIALIST,2009,2020,12,11799,983.25
1836,1981,2007,2008,1,WHITE,,2007,2008,2,219,109.5
1837,1968,2003,,0,ASIAN,EMERGENTOLOGIST,2015,2017,3,74,24.666666667
1838,1979,2012,,1,BLACK,EMERGENTOLOGIST,2015,2015,1,5,5
1839,1972,2002,,0,ASIAN,GASTROENTEROLOGIST,2005,2020,16,15490,968.125
1840,1982,2017,2018,1,ASIAN,IM HOSPITALIST,2015,2018,4,664,166
1841,,,,1,,,,,,,
1842,1969,2008,2011,0,WHITE,GENERAL SURGEON,2008,2011,4,2823,705.75
1843,1967,1996,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,10582,622.47058824
1844,1967,2008,,1,ASIAN,IM HOSPITALIST,,,,,
1845,1977,2010,,0,WHITE,PULMONOLOGIST,2010,2020,11,3143,285.72727273
1846,1932,2005,2010,0,WHITE,GASTROENTEROLOGIST,2005,2009,5,1187,237.4
1847,1983,2015,,1,WHITE,OBSTETRICIAN GYNECOLOGIST,2011,2019,9,4526,502.88888889
1848,1950,1997,2016,1,WHITE,INTERNIST,,,,,
1849,1972,2009,,1,BLACK,FAMILY PRACTICE SPECIALIST,2009,2020,12,11997,999.75
1850,1963,2003,2019,1,WHITE,PHYSICIAN ASST II,2004,2019,16,11893,743.3125
1851,1981,2011,2014,0,WHITE,INTERNIST,2009,2012,4,438,109.5
1852,1972,2008,2009,0,WHITE,,2008,2009,2,281,140.5
1853,1986,2015,,1,ASIAN,,2012,2015,4,1500,375
1854,1957,1993,,1,ASIAN,"GERIATRICS,PALLIATIVE&CONTCARE",2004,2020,17,3421,201.23529412
1855,1976,2007,,0,WHITE,PULMONOLOGIST,2008,2020,13,1322,101.69230769
1856,1977,2013,2016,0,WHITE,,2014,2016,3,85,28.333333333
1857,1975,2009,,1,BLACK,INTERNIST,2009,2020,12,8478,706.5
1858,1956,1997,,0,ASIAN,GASTROENTEROLOGIST,2004,2020,17,12352,726.58823529
1859,1982,2015,,0,ASIAN,VASCULAR SURGEON,2008,2020,13,2646,203.53846154
1860,1975,2006,,1,ASIAN,INTERNIST,2006,2020,15,18820,1254.6666667
1861,1949,1979,2012,0,BLACK,INTERNIST,2004,2012,9,3082,342.44444444
1862,1959,1995,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2019,16,14512,907
1863,1971,2000,,0,ASIAN,IM HOSPITALIST,2004,2020,17,3754,220.82352941
1864,1966,1998,2015,1,WHITE,FM CONTINUING CARE,2013,2014,2,115,57.5
1865,1974,2006,2009,0,WHITE,URGENT CARE SPECIALIST,2005,2008,4,990,247.5
1866,1978,2009,,1,WHITE,FAMILY PRACTICE SPECIALIST,2007,2020,14,13142,938.71428571
1867,1959,2012,,0,ASIAN,INTERNIST,2012,2020,9,9555,1061.6666667
1868,1957,1989,,1,WHITE,IM HOSPITALIST,2004,2019,16,1353,84.5625
1869,1986,2012,2015,1,ASIAN,RESIDENT PHYSICIAN,2012,2015,4,999,249.75
1870,1953,1990,2017,0,HISPAN,FAMILY PRACTICE SPECIALIST,2004,2017,14,13801,985.78571429
1871,1987,2013,2014,0,ASIAN,RESIDENT PHYSICIAN,2013,2014,2,73,36.5
1872,1970,1999,,1,ASIAN,PHYSICIAN AST II,2004,2020,17,2661,156.52941176
1873,1963,1994,,0,ASIAN,UROLOGIST,2004,2020,17,10802,635.41176471
1874,1977,2008,,1,WHITE,COLORECTAL SURGEON,2010,2020,11,2977,270.63636364
1875,1978,2006,,0,WHITE,SURGICAL ONCOLOGIST,2014,2020,7,1834,262
1876,1972,2004,,1,ASIAN,PULMONARY DISEASE,2004,2020,17,3131,184.17647059
1877,1969,2001,,1,WHITE,GENERAL SURGEON,2004,2020,17,8338,490.47058824
1878,1979,2008,,1,WHITE,IM HOSPITALIST,,,,,
1879,1957,1990,,1,HISPAN,IM HOSPITALIST,2004,2005,2,600,300
1880,1988,2017,,1,ASIAN,RESIDENT PHYSICIAN,2017,2020,4,300,75
1881,1958,2015,,0,WHITE,URGENT CARE SPECIALIST,2015,2020,6,9897,1649.5
1882,1984,2013,,1,ASIAN,IM HOSPITALIST,,,,,
1883,1960,1989,2018,0,ASIAN,GASTROENTEROLOGIST,2004,2018,15,11795,786.33333333
1884,1974,2006,,0,ASIAN,IM HOSPITALIST,2006,2020,15,986,65.733333333
1885,1965,2014,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2014,2020,7,8520,1217.1428571
1886,1968,1997,,0,ASIAN,GASTROENTEROLOGIST,2004,2020,17,11909,700.52941176
1887,1975,2007,,1,ASIAN,INTERNIST,2007,2020,14,7112,508
1888,1953,2007,,1,WHITE,FAMILY PRACTICE SPECIALIST,2007,2020,14,13165,940.35714286
1889,1977,2010,2017,1,BLACK,INTERNIST,2010,2016,7,3122,446
1890,1979,2007,2019,1,WHITE,"GERIATRICS,PALLIATIVE&CONTCARE",2016,2019,4,532,133
1891,1971,2002,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,15251,897.11764706
1892,1983,2017,,0,ASIAN,,2016,2017,2,782,391
1893,1973,2008,,0,ASIAN,RADIATION ONCOLOGIST,2008,2020,13,5642,434
1894,1958,1987,,0,ASIAN,IM HOSPITALIST,,,,,
1895,1964,1996,,1,WHITE,INTERNIST,2004,2020,17,3364,197.88235294
1896,1971,2002,2015,1,ASIAN,INTERNIST,2004,2015,12,5056,421.33333333
1897,1963,2006,,1,WHITE,INTERNIST,2006,2020,15,13247,883.13333333
1898,1980,2007,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2006,2020,15,13014,867.6
1899,1948,1980,,0,ASIAN,GENERAL SURGEON,2004,2020,17,7034,413.76470588
1900,1968,2011,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2011,2020,10,12256,1225.6
1901,1951,2007,2017,0,WHITE,FAMILY PRACTICE SPECIALIST,2007,2017,11,8799,799.90909091
1902,1956,1988,2016,0,WHITE,GENERAL SURGEON,2004,2015,12,5902,491.83333333
1903,1950,1993,,1,ASIAN,RADIOLOGIST,,,,,
1904,1960,1992,,0,WHITE,GENERAL SURGEON,2004,2020,17,8351,491.23529412
1905,1969,2004,,1,,IM ONCOLOGY AND HEMATOLOGY,2004,2020,17,3610,212.35294118
1906,1962,1996,,0,WHITE,INTERNIST,2004,2020,17,9828,578.11764706
1907,1977,2006,,1,HISPAN,IM HOSPITALIST,,,,,
1908,1972,2007,,0,WHITE,IM HOSPITALIST,2007,2020,14,4622,330.14285714
1909,1953,1987,,0,BLACK,IM HOSPITALIST,2004,2015,12,5641,470.08333333
1910,1939,1997,2008,0,HISPAN,,2004,2008,5,1471,294.2
1911,1981,2011,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2009,2019,11,11346,1031.4545455
1912,1980,2012,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2012,2020,9,6737,748.55555556
1913,1978,,2019,0,WHITE,,2007,2010,4,1278,319.5
1914,1976,2007,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2007,2020,14,9536,681.14285714
1915,1968,2003,,0,WHITE,OBSTETRICIAN GYNECOLOGIST,2004,2020,17,11582,681.29411765
1916,1971,2015,2019,0,WHITE,RADIOLOGIST,2016,2018,3,801,267
1917,1969,2005,,1,ASIAN,GASTROENTEROLOGIST,2005,2020,16,6885,430.3125
1918,1987,2019,,1,ASIAN,OPHTHALMOLOGIST,2019,2020,2,1495,747.5
1919,1973,2007,,0,ASIAN,INTERNIST,2007,2020,14,9316,665.42857143
1920,1981,2011,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2009,2020,12,7622,635.16666667
1921,1955,1988,2014,1,BLACK,,,,,,
1922,1962,1993,,1,ASIAN,INTERNIST,2004,2019,16,10601,662.5625
1923,1967,1996,,1,WHITE,INTERNIST,2004,2020,17,3905,229.70588235
1924,1971,2009,,1,HISPAN,FAMILY PRACTICE SPECIALIST,2009,2020,12,10302,858.5
1925,1971,2004,2020,0,WHITE,FAMILY PRACTICE SPECIALIST,2004,2018,15,21452,1430.1333333
1926,1958,1988,,1,ASIAN,IM HOSPITALIST,2016,2020,5,2149,429.8
1927,1958,1989,2018,1,BLACK,INTERNIST,2004,2016,13,8053,619.46153846
1928,1981,2011,,1,ASIAN,COLORECTAL SURGEON,2011,2020,10,2372,237.2
1929,1951,1979,2013,1,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2011,8,21774,2721.75
1930,1974,2012,,1,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2012,2020,9,2433,270.33333333
1931,1979,2007,,1,ASIAN,IM HOSPITALIST,2005,2019,15,371,24.733333333
1932,1981,2016,,0,HISPAN,FAMILY PRACTICE SPECIALIST,2016,2020,5,6942,1388.4
1933,1977,2012,,0,WHITE,GASTROENTEROLOGIST,2009,2020,12,9702,808.5
1934,1978,2013,2013,1,,,2013,2013,1,39,39
1935,1977,2008,,1,WHITE,PSYCHIATRIST,2008,2020,13,1382,106.30769231
1936,1960,1990,,0,WHITE,SURGERY - BARIATRIC,2004,2020,17,7960,468.23529412
1937,1964,2005,,0,ASIAN,IM HOSPITALIST,,,,,
1938,1983,2013,,1,ASIAN,INTERNIST,2013,2020,8,9202,1150.25
1939,1964,1997,,1,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2004,2020,17,2769,162.88235294
1940,1960,1991,,0,BLACK,UROLOGIST,2004,2020,17,7346,432.11764706
1941,1975,2008,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2008,2020,13,19260,1481.5384615
1942,1945,1976,2019,0,ASIAN,RADIATION ONCOLOGIST,2004,2019,16,7448,465.5
1943,1974,2004,,1,ASIAN,IM HOSPITALIST,2004,2006,3,2177,725.66666667
1944,1976,2006,2008,1,BLACK,PEDIATRIC SURGEON,2004,2008,5,1185,237
1945,1970,2003,,1,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2004,2020,17,3785,222.64705882
1946,1951,2000,2013,0,WHITE,GASTROENTEROLOGIST,2004,2012,9,8896,988.44444444
1947,1976,2011,,0,ASIAN,GASTROENTEROLOGIST,2011,2020,10,11646,1164.6
1948,1964,2018,,0,WHITE,INTERNIST,2018,2020,3,2921,973.66666667
1949,1965,2000,,1,WHITE,IM HOSPITALIST,2004,2020,17,7703,453.11764706
1950,1967,2008,,1,BLACK,OB/GYNECOLOGY,2005,2020,16,9001,562.5625
1951,1983,2012,2013,0,,,,,,,
1952,1951,2015,,0,WHITE,,,,,,
1953,1961,2007,2015,1,WHITE,AMB CARE PHARMACIST,,,,,
1954,1969,2002,,0,WHITE,INTERNIST,2004,2020,17,12645,743.82352941
1955,1968,2014,,0,HISPAN,INTERNIST,2014,2020,7,7362,1051.7142857
1956,1973,2010,2012,1,WHITE,,2010,2012,3,1147,382.33333333
1957,1956,2000,,0,BLACK,FAMILY PRACTICE SPECIALIST,2004,2020,17,16410,965.29411765
1958,1982,2016,,1,ASIAN,COLORECTAL SURGEON,2010,2020,11,1614,146.72727273
1959,1970,2007,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2007,2020,14,17785,1270.3571429
1960,1979,2009,,1,ASIAN,IM HOSPITALIST,,,,,
1961,1968,2002,,0,ASIAN,SURGICAL ONCOLOGIST,2004,2020,17,8016,471.52941176
1962,1984,2014,,1,ASIAN,,2009,2014,6,663,110.5
1963,1963,2008,,1,ASIAN,INTERNIST,2008,2020,13,11745,903.46153846
1964,1957,2000,2013,0,WHITE,GASTROENTEROLOGIST,2006,2012,7,2299,328.42857143
1965,1978,2010,2011,1,,,2010,2011,2,173,86.5
1966,1970,1997,,0,ASIAN,SURGERY GENERAL,2007,2020,14,4952,353.71428571
1967,1957,2000,,1,WHITE,SURGICAL ONCOLOGIST,2004,2020,17,7384,434.35294118
1968,1973,2010,,1,ASIAN,INTERNIST,2010,2020,11,4661,423.72727273
1969,1973,2006,,1,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2006,2020,15,2827,188.46666667
1970,1975,2006,,1,ASIAN,GENERAL SURGEON,2011,2020,10,4225,422.5
1971,1966,2005,,1,ASIAN,INTERNIST,2005,2020,16,10221,638.8125
1972,1972,2001,2015,0,HISPAN,INTERNIST,2004,2015,12,4173,347.75
1973,1978,2012,,1,ASIAN,GENERAL SURGEON,2012,2019,8,1894,236.75
1974,1958,1987,,0,ASIAN,INTERNIST,2004,2020,17,4260,250.58823529
1975,1967,2001,,1,WHITE,IM HOSPITALIST,2004,2010,7,536,76.571428571
1976,1965,2001,,1,WHITE,NURSE PRACTITIONER Y2,2004,2020,17,23841,1402.4117647
1977,1969,1998,,1,ASIAN,INTERNIST,2004,2020,17,7978,469.29411765
1978,1974,2005,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2005,2020,16,12655,790.9375
1979,1952,2005,2011,0,WHITE,GASTROENTEROLOGIST,2005,2011,7,3780,540
1980,1964,2001,,0,ASIAN,GENERAL SURGEON,2004,2020,17,5323,313.11764706
1981,1981,2012,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2008,2020,13,6809,523.76923077
1982,1973,2005,,0,ASIAN,PULMONOLOGIST,2005,2020,16,4254,265.875
1983,1970,2002,,0,ASIAN,INTERNIST,2004,2020,17,9330,548.82352941
1984,1977,2018,,1,HISPAN,,2017,2018,2,2,1
1985,1968,1997,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,19439,1143.4705882
1986,1979,2011,,1,ASIAN,INTERNIST,2011,2020,10,7034,703.4
1987,1970,2009,2015,0,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2009,2015,7,2369,338.42857143
1988,1965,2008,,0,ASIAN,GENERAL SURGEON,2008,2020,13,5541,426.23076923
1989,1982,2011,,0,ASIAN,IM HOSPITALIST,2011,2020,10,856,85.6
1990,1953,1982,,0,WHITE,IM ONCOLOGY AND HEMATOLOGY,2004,2020,17,10655,626.76470588
1991,1968,2007,,0,WHITE,INTERNIST,2007,2020,14,11927,851.92857143
1992,1949,1980,,0,WHITE,GENERAL SURGEON,2004,2020,17,7077,416.29411765
1993,1952,1983,,1,HISPAN,OBSTETRICIAN GYNECOLOGIST,2004,2019,16,8423,526.4375
1994,1972,2003,,0,WHITE,GENERAL SURGEON,2004,2020,17,6511,383
1995,1968,1995,,0,ASIAN,IM HOSPITALIST,2004,2005,2,830,415
1996,1959,1998,,0,WHITE,,2004,2015,12,18085,1507.0833333
1997,1987,2016,2018,1,ASIAN,INTERNIST,2014,2018,5,719,143.8
1998,1970,2001,,1,HISPAN,NURSE PRACTITIONER Y2,2004,2020,17,24137,1419.8235294
1999,1978,2012,2019,1,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2012,2019,8,2624,328
2000,1960,1988,,0,ASIAN,INTERNIST,2004,2020,17,41847,2461.5882353
2001,1986,2015,,1,ASIAN,INTERNIST,2015,2020,6,5072,845.33333333
2002,1967,1997,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,12446,732.11764706
2003,1978,2008,2017,0,ASIAN,INTERNIST,2016,2017,2,152,76
2004,1972,2008,2015,0,ASIAN,GENERAL SURGEON,2008,2009,2,369,184.5
2005,1956,1985,,0,WHITE,INTERNIST,2004,2020,17,9848,579.29411765
2006,1971,2004,,0,HISPAN,"GERIATRICS,PALLIATIVE&CONTCARE",2012,2015,4,12,3
2007,1955,1990,,0,ASIAN,UROLOGIST,2004,2019,16,11792,737
2008,1966,2002,,1,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2004,2020,17,3437,202.17647059
2009,1982,2015,,0,ASIAN,,2010,2015,6,567,94.5
2010,1974,2004,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,19574,1151.4117647
2011,1980,2011,,1,ASIAN,PHYSCN ASST I,2011,2016,6,12945,2157.5
2012,1963,2011,,1,WHITE,PHYSICIAN ASST II,2011,2020,10,7180,718
2013,1974,2005,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2005,2019,15,9722,648.13333333
2014,1974,2009,,1,WHITE,FAMILY PRACTICE SPECIALIST,2009,2020,12,11088,924
2015,1956,1989,,0,WHITE,EMERGENTOLOGIST,2006,2009,4,183,45.75
2016,1976,2008,2019,0,WHITE,ALLERGIST,2006,2019,14,10494,749.57142857
2017,1951,1989,,0,ASIAN,INTERNIST,2004,2020,17,10135,596.17647059
2018,1979,2009,,0,WHITE,FAMILY PRACTICE SPECIALIST,2006,2020,15,15652,1043.4666667
2019,1980,2012,2014,0,ASIAN,GENERAL SURGEON,2012,2014,3,1386,462
2020,1968,2006,,0,WHITE,INTERNIST,2006,2020,15,13403,893.53333333
2021,1968,2002,,0,ASIAN,INTERNIST,2004,2020,17,14237,837.47058824
2022,1956,1983,,0,WHITE,FAMILY PRACTICE SPECIALIST,2004,2020,17,12634,743.17647059
2023,1967,1996,,1,WHITE,FAMILY PRACTICE SPECIALIST,2004,2020,17,16475,969.11764706
2024,1970,2005,,1,ASIAN,INTERNIST,2005,2020,16,16260,1016.25
2025,1978,2011,,1,WHITE,FAMILY PRACTICE SPECIALIST,2009,2020,12,9154,762.83333333
2026,1958,1996,,0,WHITE,FAMILY PRACTICE SPECIALIST,2004,2020,17,10132,596
2027,1979,2017,,1,HISPAN,FAMILY PRACTICE SPECIALIST,2017,2020,4,5242,1310.5
2028,1962,2007,,1,HISPAN,INTERNIST,2007,2020,14,6626,473.28571429
2029,1982,2013,,1,WHITE,GASTROENTEROLOGIST,2013,2020,8,6068,758.5
2030,1973,2008,,1,BLACK,URGENT CARE SPECIALIST,2008,2020,13,16920,1301.5384615
2031,1965,1996,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,42934,2525.5294118
2032,1991,2018,,1,ASIAN,RESIDENT PHYSICIAN,2018,2019,2,152,76
2033,1972,2007,2017,1,ASIAN,NURSE PRACTITIONER II,2007,2014,8,12499,1562.375
2034,1983,2012,,1,ASIAN,IM HOSPITALIST,2012,2016,5,4768,953.6
2035,1967,2000,,0,WHITE,GENERAL SURGEON,2004,2020,17,5261,309.47058824
2036,1974,2005,,1,ASIAN,PHARM IN CHARGENAMEONPHARMLIC,2010,2010,1,5,5
2037,1965,2002,,0,WHITE,FAMILY PRACTICE SPECIALIST,2004,2020,17,11093,652.52941176
2038,1969,2008,2013,1,WHITE,PHYSICIAN ASST II,2008,2013,6,1713,285.5
2039,1968,2002,,0,WHITE,FAMILY PRACTICE SPECIALIST,2007,2020,14,11070,790.71428571
2040,1956,1989,,1,ASIAN,INTERNIST,2004,2020,17,15887,934.52941176
2041,1980,2010,2014,0,ASIAN,UROLOGIST,2007,2013,7,798,114
2042,1965,2000,,1,HISPAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,18549,1091.1176471
2043,1981,2015,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2015,2020,6,8716,1452.6666667
2044,1977,2009,2012,0,ASIAN,GENERAL SURGEON,2009,2012,4,1953,488.25
2045,1943,1976,2009,0,WHITE,SURGICAL ONCOLOGIST,2004,2009,6,1325,220.83333333
2046,1956,1985,,0,ASIAN,INTERNIST,2004,2019,16,4123,257.6875
2047,1960,1988,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,13494,793.76470588
2048,1957,1992,,1,WHITE,IM ONCOLOGY AND HEMATOLOGY,2004,2019,16,2851,178.1875
2049,1969,2002,,0,HISPAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,16656,979.76470588
2050,1953,1990,,0,WHITE,GASTROENTEROLOGIST,2004,2020,17,6387,375.70588235
2051,1966,2001,,0,WHITE,IM HOSPITALIST,,,,,
2052,1959,1997,,0,AMINDN,GENERAL SURGEON,2004,2020,17,6072,357.17647059
2053,1974,2011,,0,ASIAN,PULMONOLOGIST,2011,2020,10,2329,232.9
2054,1955,1984,,0,WHITE,GASTROENTEROLOGIST,2004,2020,17,985,57.941176471
2055,1976,2006,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,12038,708.11764706
2056,1987,2015,,0,ASIAN,RESIDENT PHYSICIAN,2015,2019,5,128,25.6
2057,1966,1996,,0,ASIAN,GENERAL SURGEON,2004,2020,17,5406,318
2058,1965,2009,,0,WHITE,EMERGENTOLOGIST,2009,2017,9,2403,267
2059,1978,2013,2015,0,WHITE,,2011,2014,4,386,96.5
2060,1981,2013,,0,ASIAN,IM HOSPITALIST,2014,2019,6,252,42
2061,1973,2011,2014,0,ASIAN,GASTROENTEROLOGIST,2011,2013,3,2823,941
2062,1971,2001,,1,ASIAN,GASTROENTEROLOGIST,2005,2020,16,9036,564.75
2063,1947,2000,2014,0,WHITE,GASTROENTEROLOGIST,2005,2014,10,6325,632.5
2064,1961,1994,,0,WHITE,FAMILY PRACTICE SPECIALIST,2004,2020,17,10621,624.76470588
2065,1972,2002,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,24050,1414.7058824
2066,1969,1999,,0,WHITE,FAMILY PRACTICE SPECIALIST,2004,2020,17,15547,914.52941176
2067,1969,1997,,1,ASIAN,INTERNIST,2004,2020,17,14529,854.64705882
2068,1979,2009,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2006,2020,15,27339,1822.6
2069,1973,2005,,1,ASIAN,IM HOSPITALIST,2005,2018,14,3186,227.57142857
2070,1945,2001,2010,0,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2004,2009,6,679,113.16666667
2071,1972,2008,,0,WHITE,PHYSICIAN ASST II,2012,2020,9,1058,117.55555556
2072,1954,1983,2019,0,WHITE,INTERNIST,2004,2019,16,14603,912.6875
2073,1975,2009,2013,0,HISPAN,GENERAL SURGEON,2011,2011,1,34,34
2074,1974,2016,,1,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2016,2020,5,1911,382.2
2075,1970,1999,,1,ASIAN,INTERNIST,2004,2020,17,8425,495.58823529
2076,1949,1979,,0,WHITE,EMERGENTOLOGIST,2005,2006,2,142,71
2077,1978,2012,,0,WHITE,GENERAL SURGEON,2012,2020,9,3639,404.33333333
2078,1976,2011,,1,ASIAN,INTERNIST,2011,2020,10,10725,1072.5
2079,1978,,2014,1,,,2014,2014,1,11,11
2080,1962,2000,,0,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2004,2020,17,6262,368.35294118
2081,1987,2014,2015,1,ASIAN,RESIDENT PHYSICIAN,2014,2015,2,50,25
2082,1953,1991,,0,WHITE,FAMILY PRACTICE SPECIALIST,2004,2020,17,14573,857.23529412
2083,1975,2007,,0,ASIAN,IM HOSPITALIST,2012,2017,6,196,32.666666667
2084,1951,1980,2017,1,WHITE,PEDIATRIC HEMATOLOGIST,2004,2017,14,1782,127.28571429
2085,1970,2001,,0,WHITE,GENERAL SURGEON,2004,2020,17,4139,243.47058824
2086,1955,2009,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2009,2020,12,11158,929.83333333
2087,1979,2007,,0,WHITE,FAMILY PRACTICE SPECIALIST,2005,2020,16,28553,1784.5625
2088,1968,2005,,0,WHITE,IM HOSPITALIST,2005,2018,14,4,0.2857142857
