physid,firstdepyr,lastdepyr,SPECIALTY,MEDCTR,MSA,ENCCT
616,2016,2016,Family Practice,WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,18
616,2018,2020,Urgent Care,MARKET STREET MEDICAL OFFICES U,WOODLAND HILLS MED CENTER AREA,510
617,2004,2006,Family Practice,BOSTONIA MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,199
617,2004,2013,Family Practice,BONITA MEDICAL OFFICES        U,SAN DIEGO MEDICAL CENTER AREA,938
617,2004,2013,Family Practice,CLAIREMONT MESA MED OFFICES   U,SAN DIEGO MEDICAL CENTER AREA,323
617,2004,2013,Family Practice,LA MESA MEDICAL OFFICES       U,SAN DIEGO MEDICAL CENTER AREA,1860
617,2004,2013,Family Practice,OTAY MESA OUTPATIENT MED CTR  U,SAN DIEGO MEDICAL CENTER AREA,3305
617,2004,2013,Family Practice,VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,4379
617,2004,2014,Family Practice,RANCHO SAN DIEGO MOB          U,SAN DIEGO MEDICAL CENTER AREA,10491
617,2005,2005,Family Practice,SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,13
617,2005,2012,Family Practice,PT LOMA/FORDHAM MED OFFICE   U,SAN DIEGO MEDICAL CENTER AREA,281
617,2007,2007,Family Practice,ESCONDIDO MEDICAL OFFICES     U,SAN DIEGO MEDICAL CENTER AREA,9
618,2004,2004,"Surgery, General",RIVERSIDE MEDICAL CENTER L,RIVERSIDE MEDICAL CENTER AREA,8
618,2004,2007,"Surgery, General",FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,621
618,2005,2007,"Surgery, General",ONTARIO VINEYARD MED OFFICES U,SAN BERNARDINO COUNTY AREA,1792
618,2007,2020,"Surgery, General",RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,13319
618,2010,2010,Urgent Care,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,1
619,2012,2013,"Surgery, General",4760 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,149
620,2013,2018,"Surgery, General",FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,213
620,2016,2018,"Surgery, General",MEDICAL OFFICES D AT ONTARIO U,SAN BERNARDINO COUNTY AREA,28
621,2004,2005,,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,98
621,2004,2020,Hematology/Oncology,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,41497
622,2004,2019,Internal Medicine,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,39603
622,2008,2011,Family Practice,INGLEWOOD MEDICAL OFFICES U,WEST LA MEDICAL CENTER AREA,190
622,2011,2020,Urgent Care,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,2205
622,2019,2020,Internal Medicine,VENICE MEDICAL OFFICES U,WEST LA MEDICAL CENTER AREA,1559
623,2013,2016,Family Practice,WILDOMAR MEDICAL OFFICES U,RIVERSIDE MEDICAL CENTER AREA,10706
623,2013,2016,Urgent Care,WILDOMAR MEDICAL OFFICES U,RIVERSIDE MEDICAL CENTER AREA,1565
623,2016,2019,Urgent Care,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,217
623,2016,2020,Family Practice,CORONA MEDICAL OFFICES  D15 U,RIVERSIDE MEDICAL CENTER AREA,13151
623,2016,2020,Family Practice,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,1023
625,2005,2005,,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,1
625,2005,2005,Family Practice,GARDEN GROVE MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,25
625,2005,2020,Internal Medicine,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,40685
625,2006,2007,Pediatrics,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,40
625,2006,2020,Family Practice,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,515
625,2008,2012,Pediatric Urgent Care,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,95
626,2004,2005,Family Practice,MISSION VIEJO MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,1330
626,2005,2005,Family Practice,GARDEN GROVE MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,11
626,2005,2005,Family Practice,HARBOR MAC ARTHUR MED OFFICES U,ORANGE COUNTY MED CENTER AREA,33
626,2014,2016,Continuing Care,ALTON/SAND CANYON MOB 2 U,ORANGE COUNTY MED CENTER AREA,8
626,2014,2019,Continuing Care,ANAHEIM KRAEMER MED OFFICE 2 U,ORANGE COUNTY MED CENTER AREA,150
626,2016,2019,Continuing Care,XKP LTC OC NON-KP FACILITIES,ORANGE COUNTY MED CENTER AREA,285
626,2016,2020,Continuing Care,ALTON/SAND CANYON MOB 1 U,ORANGE COUNTY MED CENTER AREA,66
627,2004,2005,Internal Medicine,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,1995
628,2007,2017,Internal Medicine,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,30769
628,2012,2020,Urgent Care,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,1978
628,2015,2016,Family Practice,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,11
628,2017,2020,Internal Medicine,BALDWIN HILLS CRENSHAW MEDICAL OFFIC,WEST LA MEDICAL CENTER AREA,7748
628,2020,2020,Population Care Management,BALDWIN HILLS CRENSHAW MEDICAL OFFIC,WEST LA MEDICAL CENTER AREA,5
629,2018,2019,"Obstetrics, Gynecology",ALTON/SAND CANYON MOB 2 U,ORANGE COUNTY MED CENTER AREA,2971
630,2004,2005,Family Practice,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,527
630,2004,2020,"Surgery, General",FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,7643
630,2010,2020,Plastic Surgery,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,2539
630,2011,2015,Plastic Surgery,ONTARIO VINEYARD MED OFFICES U,SAN BERNARDINO COUNTY AREA,96
630,2012,2015,Cosmetics,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,453
630,2012,2015,"Surgery, General",MEDICAL OFFICES D AT ONTARIO U,SAN BERNARDINO COUNTY AREA,28
630,2014,2019,Plastic Surgery,MEDICAL OFFICES D AT ONTARIO U,SAN BERNARDINO COUNTY AREA,52
631,2013,2019,Urgent Care,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,2018
631,2013,2020,Family Practice,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,5988
631,2014,2014,Family Practice,ROSECRANS MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,471
631,2015,2020,Family Practice,BELLFLOWER MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,14128
632,2010,2012,Hematology/Oncology,LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,2982
632,2011,2020,Hematology/Oncology,ALTON/SAND CANYON MOB 2 U,ORANGE COUNTY MED CENTER AREA,11343
632,2012,2014,Hematology/Oncology,ANAHEIM KRAEMER MED OFFICE 2 U,ORANGE COUNTY MED CENTER AREA,3361
632,2014,2014,Hematology/Oncology,ANAHEIM KRAEMER MED OFFICE 1,ORANGE COUNTY MED CENTER AREA,1
632,2014,2018,Hematology/Oncology,ALTON/SAND CANYON MOB 1 U,ORANGE COUNTY MED CENTER AREA,18
633,2012,2019,Internal Medicine,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,206
633,2013,2016,Internal Medicine,IRIS ST MEDICAL OFFICES II,RIVERSIDE MEDICAL CENTER AREA,43
633,2014,2015,Urgent Care,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,2
633,2016,2019,Internal Medicine,CORONA MEDICAL OFFICES  D15 U,RIVERSIDE MEDICAL CENTER AREA,56
634,2012,2017,Internal Medicine,4950 SUNSET MEDICAL OFFICE  U,SUNSET MEDICAL CENTER AREA,547
634,2013,2013,Cardiology,1526 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,8
634,2014,2014,Nephrology,4700 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,22
634,2014,2014,Pulmonary Diseases,SUNSET - VERMONT MED OFFICES  U,SUNSET MEDICAL CENTER AREA,8
634,2014,2014,Rheumatology,4950 SUNSET MEDICAL OFFICE  U,SUNSET MEDICAL CENTER AREA,21
634,2014,2014,Urgent Care,1526 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,12
634,2015,2015,"Endocrinology, Diabetes/Metabolism",4950 SUNSET MEDICAL OFFICE  U,SUNSET MEDICAL CENTER AREA,3
634,2017,2018,Anesthesiology,1505 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,11
635,2006,2006,Urology,ALTON/SAND CANYON MOB 1 U,ORANGE COUNTY MED CENTER AREA,31
635,2006,2006,Urology,LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,12
635,2011,2020,Urology,4900 SUNSET MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,17724
636,2006,2007,Internal Medicine,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,9
637,2005,2005,Family Practice,OTAY MESA OUTPATIENT MED CTR  U,SAN DIEGO MEDICAL CENTER AREA,131
637,2005,2005,Family Practice,VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,30
638,2004,2018,Internal Medicine,PANORAMA CITY MEDICAL OFFICE 3 U,PANORAMA MEDICAL CENTER AREA,23126
638,2005,2009,Urgent Care,PANORAMA CITY MEDICAL OFFICE 4 U,PANORAMA MEDICAL CENTER AREA,241
638,2009,2018,Urgent Care,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,713
638,2013,2019,Internal Medicine,NORTH HOLLYWOOD MEDICAL OFFICE U,PANORAMA MEDICAL CENTER AREA,5984
639,2009,2016,"Surgery, General",4760 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,845
639,2014,2014,Intermediate Care,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,8
640,2007,2010,"Surgery, General",4760 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,874
641,2008,2020,Internal Medicine,LANCASTER MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,41323
641,2015,2019,Family Practice,LANCASTER MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,501
642,2004,2007,Pediatrics,SANTA ANA MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,34
642,2004,2009,Family Practice,SANTA ANA MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,8287
642,2005,2005,Family Practice,MISSION VIEJO MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,14
642,2005,2007,Pediatric Urgent Care,HARBOR MAC ARTHUR MED OFFICES U,ORANGE COUNTY MED CENTER AREA,45
642,2005,2009,Pediatric Urgent Care,LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,62
642,2005,2009,Pediatric Urgent Care,MISSION VIEJO MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,27
642,2005,2011,Family Practice,LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,173
642,2005,2017,Family Practice,GARDEN GROVE MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,445
642,2006,2007,Family Practice,ANAHEIM MEDICAL CENTER H,ORANGE COUNTY MED CENTER AREA,2
642,2006,2019,Family Practice,HARBOR MAC ARTHUR MED OFFICES U,ORANGE COUNTY MED CENTER AREA,66
642,2006,2020,Urgent Care,HARBOR MAC ARTHUR MED OFFICES U,ORANGE COUNTY MED CENTER AREA,1062
642,2007,2007,Pediatric Urgent Care,GARDEN GROVE MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,13
642,2008,2008,Family Practice,ANAHEIM HILLS MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,8
642,2008,2020,Family Practice,BREA MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,14324
642,2008,2020,Urgent Care,GARDEN GROVE MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,742
642,2016,2016,Family Practice,EUCLID MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,5
642,2017,2017,Urgent Care,MISSION VIEJO MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,10
643,2006,2014,Intermediate Care,OTAY MESA OUTPATIENT MED CTR  U,SAN DIEGO MEDICAL CENTER AREA,4017
643,2007,2007,Intermediate Care,SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,22
643,2014,2017,Urgent Care,OTAY MESA OUTPATIENT MED CTR  U,SAN DIEGO MEDICAL CENTER AREA,1168
643,2016,2017,Urgent Care,LA MESA MEDICAL OFFICES       U,SAN DIEGO MEDICAL CENTER AREA,231
644,2018,2020,Gastroenterology,GARFIELD SPEC CARE CNTR U,SAN DIEGO MEDICAL CENTER AREA,95
644,2018,2020,Gastroenterology,OTAY MESA OUTPATIENT MED CTR  U,SAN DIEGO MEDICAL CENTER AREA,2904
645,2004,2004,Hematology/Oncology,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,172
645,2004,2020,Hematology/Oncology,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,43452
645,2006,2006,Hematology/Oncology,ONTARIO VINEYARD MED OFFICES U,SAN BERNARDINO COUNTY AREA,459
645,2010,2010,Hematology/Oncology,CENTRAL MEDICAL OFFICES U,KERN COUNTY MED CENTER AREA,68
645,2013,2014,Hematology/Oncology,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,75
645,2015,2019,Hematology/Oncology,2620 CHESTER MEDICAL OFFICES/U,KERN COUNTY MED CENTER AREA,56
645,2016,2016,Hematology/Oncology,PARKVIEW MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,63
645,2018,2019,Hematology/Oncology,REDLANDS MEDICAL OFFICE U,SAN BERNARDINO COUNTY AREA,16
646,2004,2011,"Surgery, General",FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,7390
646,2010,2016,"Surgery, General",ONTARIO VINEYARD MED OFFICES U,SAN BERNARDINO COUNTY AREA,1191
646,2011,2020,"Surgery, General",MEDICAL OFFICES D AT ONTARIO U,SAN BERNARDINO COUNTY AREA,5470
647,2016,2017,Geriatric Medicine,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,18
648,2004,2005,Pulmonary Diseases,SUNSET - VERMONT MED OFFICES  U,SUNSET MEDICAL CENTER AREA,9
648,2004,2019,Internal Medicine,4950 SUNSET MEDICAL OFFICE  U,SUNSET MEDICAL CENTER AREA,32616
648,2005,2005,Cardiology,1526 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,9
648,2005,2005,"Endocrinology, Diabetes/Metabolism",4950 SUNSET MEDICAL OFFICE  U,SUNSET MEDICAL CENTER AREA,7
648,2005,2005,Hematology/Oncology,SUNSET - VERMONT MED OFFICES  U,SUNSET MEDICAL CENTER AREA,11
648,2005,2005,Nephrology,4700 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,3
648,2006,2006,Rheumatology,4950 SUNSET MEDICAL OFFICE  U,SUNSET MEDICAL CENTER AREA,11
648,2007,2007,Internal Medicine,1505 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,11
648,2007,2018,Anesthesiology,1505 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,147
648,2008,2008,Gastroenterology,1526 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,10
648,2014,2015,Urgent Care,1526 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,39
648,2019,2020,Internal Medicine,HOLLYWOOD ROMAINE MED OFFICES U,SUNSET MEDICAL CENTER AREA,673
649,2008,2011,Internal Medicine,4950 SUNSET MEDICAL OFFICE  U,SUNSET MEDICAL CENTER AREA,367
649,2009,2009,Hematology/Oncology,SUNSET - VERMONT MED OFFICES  U,SUNSET MEDICAL CENTER AREA,3
649,2009,2009,Pulmonary Diseases,SUNSET - VERMONT MED OFFICES  U,SUNSET MEDICAL CENTER AREA,4
649,2010,2010,Cardiology,1526 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,6
649,2010,2010,Nephrology,4700 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,14
649,2010,2010,Rheumatology,4950 SUNSET MEDICAL OFFICE  U,SUNSET MEDICAL CENTER AREA,9
649,2011,2011,"Endocrinology, Diabetes/Metabolism",4950 SUNSET MEDICAL OFFICE  U,SUNSET MEDICAL CENTER AREA,3
649,2015,2015,"Allergy, Asthma and Immunology",LANCASTER MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,174
651,2012,2013,"Surgery, General",4760 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,159
651,2016,2017,Urgent Care,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,3864
651,2017,2017,Family Practice,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,38
652,2006,2019,Hematology/Oncology,PANORAMA CITY MEDICAL OFFICE 4 U,PANORAMA MEDICAL CENTER AREA,33981
652,2010,2014,Hematology/Oncology,LANCASTER MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,19
652,2014,2018,Hematology/Oncology,ANTELOPE VALLEY MEDICAL OFFICE U,ANTELOPE VALLEY MED CTR AREA,610
652,2019,2020,Hematology/Oncology,PANORAMA CITY MEDICAL OFFICE 3 U,PANORAMA MEDICAL CENTER AREA,3000
653,2004,2012,Family Practice,THOUSAND OAKS II MED OFFICE BLDG,WOODLAND HILLS MED CENTER AREA,25145
653,2004,2020,Family Practice,THOUSAND OAKS MEDICAL OFFICE U,WOODLAND HILLS MED CENTER AREA,1547
653,2005,2005,Internal Medicine,THOUSAND OAKS MEDICAL OFFICE U,WOODLAND HILLS MED CENTER AREA,1
653,2006,2014,Urgent Care,WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,176
653,2008,2018,Urgent Care,THOUSAND OAKS MEDICAL OFFICE U,WOODLAND HILLS MED CENTER AREA,2521
653,2012,2020,Family Practice,322 THOUSAND OAKS MEDICAL OFFICES U,WOODLAND HILLS MED CENTER AREA,19900
654,2005,2013,Internal Medicine,GARDENA MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,18314
654,2013,2020,Internal Medicine,CARSON SOUTH BAY MEDICAL OFFICE U,SOUTH BAY MEDICAL CENTER AREA,16615
654,2015,2015,Employee Health,CARSON SOUTH BAY MEDICAL OFFICE U,SOUTH BAY MEDICAL CENTER AREA,18
654,2015,2019,Family Practice,SOUTH BAY MEDICAL CENTER U,SOUTH BAY MEDICAL CENTER AREA,372
654,2017,2020,Internal Medicine,NORMANDIE NO. MEDICAL OFFICE U,SOUTH BAY MEDICAL CENTER AREA,316
654,2020,2020,Urgent Care,NORMANDIE NO. MEDICAL OFFICE U,SOUTH BAY MEDICAL CENTER AREA,22
655,2010,2013,"Surgery, General",GARFIELD SPEC CARE CNTR U,SAN DIEGO MEDICAL CENTER AREA,6
655,2010,2015,"Surgery, General",VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,2158
655,2011,2011,"Surgery, General",OTAY MESA OUTPATIENT MED CTR  U,SAN DIEGO MEDICAL CENTER AREA,1
655,2011,2016,"Surgery, General",SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,125
655,2011,2020,"Surgery, General",SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,5612
656,2004,2006,Gastroenterology,BELLFLOWER MEDICAL CENTER U,DOWNEY MEDICAL CENTER AREA,5531
656,2006,2012,Gastroenterology,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,1221
656,2006,2020,Gastroenterology,GARDEN MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,36224
657,2004,2010,Internal Medicine,VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,14806
658,2004,2020,Internal Medicine,NORTHSIDE MEDICAL OFFICES U,WOODLAND HILLS MED CENTER AREA,54142
658,2005,2020,Urgent Care,WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,5232
658,2016,2020,Family Practice,WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,548
658,2020,2020,Family Practice,SIMI VALLEY MEDICAL OFFICES U,WOODLAND HILLS MED CENTER AREA,25
660,2005,2005,,,,2
660,2005,2006,Family Practice,LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,54
660,2005,2006,Internal Medicine,LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,186
660,2005,2010,Hematology/Oncology,LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,744
660,2006,2006,Family Practice,GARDEN GROVE MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,90
660,2006,2020,Hematology/Oncology,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,26589
660,2010,2010,Hematology/Oncology,PARKVIEW MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,56
660,2010,2019,Hematology/Oncology,ALTON/SAND CANYON MOB 2 U,ORANGE COUNTY MED CENTER AREA,189
660,2011,2019,Hematology/Oncology,PALM DESERT MEDICAL OFFICES U,RIVERSIDE MEDICAL CENTER AREA,1199
660,2016,2016,Hematology/Oncology,IRIS ST MEDICAL OFFICES II,RIVERSIDE MEDICAL CENTER AREA,28
660,2019,2019,Hematology/Oncology,ANAHEIM KRAEMER MED OFFICE 2 U,ORANGE COUNTY MED CENTER AREA,23
661,2004,2019,Family Practice,THOUSAND OAKS MEDICAL OFFICE U,WOODLAND HILLS MED CENTER AREA,16197
661,2005,2012,Family Practice,THOUSAND OAKS II MED OFFICE BLDG,WOODLAND HILLS MED CENTER AREA,11560
661,2006,2018,Urgent Care,WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,378
661,2008,2018,Urgent Care,THOUSAND OAKS MEDICAL OFFICE U,WOODLAND HILLS MED CENTER AREA,7175
661,2012,2020,Family Practice,322 THOUSAND OAKS MEDICAL OFFICES U,WOODLAND HILLS MED CENTER AREA,17424
661,2018,2020,Family Practice,SIMI VALLEY MEDICAL OFFICES U,WOODLAND HILLS MED CENTER AREA,513
662,2004,2005,"Obstetrics, Gynecology",BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,1161
662,2004,2010,"Obstetrics, Gynecology",4900 SUNSET MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,5792
662,2005,2005,"Obstetrics, Gynecology",GLENDALE MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,94
662,2005,2008,"Obstetrics, Gynecology",EAST LOS ANGELES MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,2770
662,2006,2006,"Obstetrics, Gynecology",PASADENA MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,10
662,2006,2010,Pediatrics,4700 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,37
662,2008,2008,"Obstetrics, Gynecology",1526 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,6
663,2012,2014,"Surgery, General",4760 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,286
663,2014,2018,Urology,4900 SUNSET MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,668
664,2016,2018,Internal Medicine,ERWIN STREET MEDICAL OFFICE U,WOODLAND HILLS MED CENTER AREA,4350
664,2017,2018,Family Practice,WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,39
664,2018,2018,Family Practice,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,2
664,2018,2020,Internal Medicine,PANORAMA CITY MEDICAL OFFICE 3 U,PANORAMA MEDICAL CENTER AREA,7061
664,2018,2020,Urgent Care,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,840
664,2019,2019,Internal Medicine,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,29
665,2004,2019,Family Practice,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,213
665,2004,2019,Family Practice,SAN BERNARDINO MEDICAL OFFICES U,SAN BERNARDINO COUNTY AREA,8603
665,2007,2007,Family Practice,COLTON MEDICAL OFFICES  U,SAN BERNARDINO COUNTY AREA,4
665,2008,2019,Urgent Care,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,75
665,2008,2020,Family Practice,REDLANDS MEDICAL OFFICE U,SAN BERNARDINO COUNTY AREA,31497
665,2010,2010,Population Care Management,REDLANDS MEDICAL OFFICE U,SAN BERNARDINO COUNTY AREA,1
665,2012,2017,Urgent Care,REDLANDS MEDICAL OFFICE U,SAN BERNARDINO COUNTY AREA,386
665,2013,2013,Urgent Care,ONTARIO VINEYARD MED OFFICES U,SAN BERNARDINO COUNTY AREA,6
666,2004,2020,Family Practice,CUDAHY MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,56529
666,2005,2005,,,,1
666,2005,2005,,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,12
666,2005,2020,Family Practice,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,2167
666,2006,2007,Family Practice,PALM DESERT MEDICAL OFFICES U,RIVERSIDE MEDICAL CENTER AREA,109
666,2007,2007,Family Practice,INDIO MEDICAL OFFICES U,RIVERSIDE MEDICAL CENTER AREA,73
666,2007,2020,Urgent Care,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,5806
667,2012,2020,Family Practice,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,16420
667,2013,2013,Internal Medicine,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,13
667,2013,2020,Urgent Care,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,2514
667,2014,2014,Pediatrics,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,33
667,2015,2016,Urgent Care,ONTARIO VINEYARD MED OFFICES U,SAN BERNARDINO COUNTY AREA,64
668,2004,2020,"Surgery, General",4760 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,12485
668,2005,2005,"Surgery, General",4760 SUNSET MEDICAL OFFICES L,SUNSET MEDICAL CENTER AREA,3
669,2004,2014,Family Practice,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,1554
669,2005,2020,Urgent Care,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,27539
